Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasmablast, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasma_cell, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_naive, CD19+, CD27-, IgD+, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, nCD19+, singlet, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q10: SLAN+,, CD86+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD86+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, n+, singlet, transitional+, WBC"
"sing/WBC/CD19+SCC/CD19+,Freq. of,WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD14-, CD16-, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q11: SLAN+,, CD86-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD86-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q14: SLAN+,, CD14+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q15: SLAN+,, CD14-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q2: SLAN+,, CD11b+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q3: SLAN+,, CD11b-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q6: SLAN+,, CD2+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive"
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, singlet, TFH"
"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27-, IgD-, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, singlet, TFH"
"sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD127+, CD25+, CD3+, CD4+, CD45+, singlet"
"sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH"
"sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH2"
"ly/CD3+/CD8+/bcl2,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, lymphocyte"
"ly/CD3+/CD4+/bcl2,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, lymphocyte"
"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Ki67,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD4+/GranB,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, GranB+, lymphocyte"
"ly/CD3+/CD4+/DR,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/CD38bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, lymphocyte"
"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive"
"ly/CD3+/CD8+/CD38bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, lymphocyte"
"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte"
"sing/CD45+/CD3+/CD4/CM,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, CM, singlet"
"sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH2"
"sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH17"
"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte"
"ly/CD3+/CD8+/GranB,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, GranB+, lymphocyte"
"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte"
"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte"
"sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH17"
"sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH1"
"sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH1"
"sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH"
"sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, naive, singlet"
"sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet"
"sing/CD45+/CD3+/CD4/EM,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, EM, singlet"
"sing/CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet"
"ly/CD3+/CD8+/DR,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, HLA-DR+, lymphocyte"
"sing/CD45+/CD3+/CD4+,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet"
"sing/CD45+/CD3+,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, singlet"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"sing/WBC/lymono/Lin-DR+/SLAN+/Q7: SLAN+,, CD2-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD16hi, CD11b+ grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b+, CD16+, gran"
"CD16lo, CD11b- grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b-, CD16+, gran"
"CD16lo, CD11b+ grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b+, CD16+, gran"
"CD16hi, CD11b- grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b-, CD16+, gran"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",ul,45,1,11,5,"0.0, 28.0, 7.0, 90.0, 1.0",376,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",ul,45,1,11,5,"0.0, 28.0, 7.0, 90.0, 1.0",376,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
