Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"ly/CD3+/CD4+/GranB,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, GranB+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/DR,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/CD38bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive",Naive CD8+ T cells
"ly/CD3+/CD8+/CD38bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"sing/CD45+/CD3+/CD4/CM,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, CM, singlet",Memory CD4+ T cells
"sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH2",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH17",T follicular helper (Tfh) cells
"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/GranB,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, GranB+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH17",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH1",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH1",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, naive, singlet",Naive CD4+ T cells
"sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet",CD4+ T cells (Other)
"sing/CD45+/CD3+/CD4/EM,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, EM, singlet",Memory CD4+ T cells
"sing/CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet",CD4+ T cells (Other)
"ly/CD3+/CD8+/DR,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"sing/CD45+/CD3+/CD4+,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet",CD4+ T cells (Other)
"sing/CD45+/CD3+,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, singlet",T cells (Unspecified Subtype)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2-, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD2+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141-, CD1c+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"sing/WBC/lymono/Lin-DR+/SLAN+/Q7: SLAN+,, CD2-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"CD16hi, CD11b+ grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b+, CD16+, gran",Granulocytes
"CD16lo, CD11b- grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b-, CD16+, gran",Granulocytes
"CD16lo, CD11b+ grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b+, CD16+, gran",Granulocytes
"CD16hi, CD11b- grans",ul,47,2,13,5,"7.0, 90.0, 0.0, 28.0, 1.0","372, 376","CD11b-, CD16+, gran",Granulocytes
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",ul,45,1,11,5,"0.0, 28.0, 7.0, 90.0, 1.0",376,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",ul,45,1,11,5,"0.0, 28.0, 7.0, 90.0, 1.0",376,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-",CD4+ T cells (Other)
CD3+,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,CD3+,T cells (Unspecified Subtype)
"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD24+, CD3-, CD38+, HLA-DR+",B cells (Other)
"CD19+, CD3-, CD14-, CD38+, CD24+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD24+, CD3-, CD38+",B cells (Other)
"CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, CD38+, HLA-DR+",B cells (Other)
"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD-",B cells (Other)
"CD19+, CD3-, CD14-, CD38+, CD20-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, CD38+",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"CD19+, CD3-, CD14-, CD27-, IgD-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27-, CD3-, IgD-",B cells (Other)
"CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_naive, CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD+",Naive B cells
"CD19+, CD3-, CD14-, CD27-, IgD+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_naive, CD14-, CD19+, CD27-, CD3-, IgD+",Naive B cells
"CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_switched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD-",Memory B cells
"CD19+, CD3-, CD14-, CD27+, IgD-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-",Memory B cells
"CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD+",Memory B cells
"CD19+, CD3-, CD14-, CD27+, IgD+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, IgD+",Memory B cells
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD138+, CD14-, CD19+, CD27+, CD3-, HLA-DR+",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CD19+, CD3-, CD14-, CD27+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27+, CD3-, HLA-DR+",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD19+, CD3-, CD14-, CD27+, CD138+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD138+, CD14-, CD19+, CD27+, CD3-",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD14+, HLA-DR+, CD16-, CX3CR1+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CX3CR1+, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD86-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD86+, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD62L-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD62L-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD62L+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD62L+, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD11b-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, CD11b+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16+, SLAN-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+, SLAN-",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, SLAN+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+, SLAN+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CX3CR1-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CX3CR1-, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CX3CR1+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CX3CR1+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD86-, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD86+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD62L-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD62L-, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD62L+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD62L+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD11b-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD14+, CD16+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+, CD11b+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD14+, CD16+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DR+, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+",Intermediate Monocytes
