Population Definition Reported,Normalized_Definition
"CD14+, HLA-DR+, CD16+, CD86-","CD14+, CD16+, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD86+","CD14+, CD16+, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b-","CD11b-, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b+","CD11b+, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+","CD14+, CD16+, HLA-DR+"
"CD19+, CD3-, CD14-","CD14-, CD19+, CD3-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+","BDCA2-, BDCA3+, CD11c+, CD1c-, CD86+, HLA-DR+, Lin1-"
"CD19+, CD3-, CD14-, CD27-, IgD-","CD14-, CD19+, CD27-, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+","CD14-, CD19+, CD27+, CD3-, CD86+, IgD-"
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+","CD14-, CD19+, CD27-, CD3-, CD86+, IgD+"
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+","CD14-, CD19+, CD20-, CD3-, CD38+, CD86+"
"CD19+, CD3-, CD14-, CD38+, CD24+","CD14-, CD19+, CD24+, CD3-, CD38+"
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+","CD14-, CD19+, CD24+, CD3-, CD38+, CD86+"
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+","CD138+, CD14-, CD19+, CD27+, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD86+","CD14-, CD19+, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD27+, IgD+","CD14-, CD19+, CD27+, CD3-, IgD+"
"CD3+, CD4+, CD8-","CD3+, CD4+, CD8-"
"CD19+, CD3-, CD14-, CD27+, CD138+","CD138+, CD14-, CD19+, CD27+, CD3-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-","CD3+, CD4+, CD45RA-, CD8-, CXCR5+"
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+","CD14-, CD19+, CD27+, CD3-, CD86+, IgD+"
"CD19+, CD3-, CD14-, CD27+, IgD-","CD14-, CD19+, CD27+, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD20-, CD86+","CD14-, CD19+, CD20-, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD27-, IgD+","CD14-, CD19+, CD27-, CD3-, IgD+"
"CD19+, CD3-, CD14-, CD20-","CD14-, CD19+, CD20-, CD3-"
"CD19+, CD3-, CD14-, CD20+, CD86+","CD14-, CD19+, CD20+, CD3-, CD86+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-","BDCA2-, BDCA3+, CD11c+, CD1c-, CD86-, HLA-DR+, Lin1-"
"CD19+, CD3-, CD14-, CD38+, CD20-","CD14-, CD19+, CD20-, CD3-, CD38+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD19+, CD3-, CD14-, CD27+","CD14-, CD19+, CD27+, CD3-"
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+","CD14-, CD19+, CD27-, CD3-, CD86+, IgD-"
"CD3+, CD4-, CD8+, HLA-DR+","CD3+, CD4-, CD8+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L+","CD14+, CD16-, CD62L+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-","BDCA2-, CD11c+, CD40-, HLA-DR+, Lin1-"
"CD3+, HLA-DR+","CD3+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L-","CD14+, CD16-, CD62L-, HLA-DR+"
